,Date,대형가치주CAPM,대형성장주CAPM,중소형가치주CAPM,중소형성장주CAPM,대형가치주포트폴리오분산,대형성장주포트폴리오분산,중소형가치주포트폴리오분산,중소형성장주포트폴리오분산,대형가치주샤프지수,대형성장주샤프지수,중소형가치주샤프지수,중소형성장주샤프지수,코스피200수익률
96,2018-05-01,-2.2949514463927723,-2.966562797827438,-1.971171699836832,-2.2510418819732747,0.0002795986620981,0.0006168525836428,0.0002198556581436,0.0005196020316005,-1.482496141679052,-1.2685045049505503,-1.4534667810048127,-1.0682280710311742,-3.906539745333159
97,2018-06-01,-2.137033615148515,-2.6950188825428114,-1.6211944836770331,-1.9363756047946967,0.0002919152992796,0.0006382670846577,0.000229625442417,0.0005283499764527,-1.3632338239085746,-1.142791430093458,-1.196641226404472,-0.9260034860748976,-3.6215103563617568
98,2018-07-01,-0.3190068116550079,-0.4315079220460894,-0.3573626085219044,-0.3707331607357756,0.0003003051001647,0.000646724329787,0.0002329887637908,0.000514908472593,-0.3001278933115135,-0.2487545637646289,-0.3658660534786096,-0.2519996435520579,-0.7375025028365623
99,2018-08-01,0.5709241988587171,0.6138673850321276,0.6281356631786605,0.6389647335445714,0.0002907526532774,0.000626855910446,0.0002264851794632,0.0004837100783721,0.2159343861772186,0.1642135970376105,0.2826761573489651,0.198350516369618,0.8808203059337716
100,2018-09-01,0.1730205400403051,0.1718499900392098,0.1734310999577733,0.1758350075791158,0.0002691908577639,0.0005677177357341,0.0002067567362189,0.0004098533371967,-0.0245579280409492,-0.0174017426427183,-0.0277360160325606,-0.0185122851239156,0.146632452427764
101,2018-10-01,-6.797978447892852,-7.494401481370946,-7.237078759546028,-6.625416307409289,0.0002690611295545,0.0005670055155587,0.0002062628978756,0.0004072170587389,-4.2793345271343135,-3.2403370581940423,-5.193290061622558,-3.3929607251824216,-12.14601843532661
102,2018-11-01,1.876510215960114,2.8882331406590183,2.347958233660329,2.243097408016843,0.0003937394542599,0.0007048019518946,0.0003546052310657,0.0005009666570184,0.8336735367719385,1.0042036045625184,1.128829849924745,0.9028723960072956,2.7801977197833505
103,2018-12-01,-2.2662889611555666,-3.772270361682629,-2.7882671066956184,-2.7201580711269435,0.0003961096424611,0.0007100216168382,0.0003644145090394,0.00050106489352,-1.2475100545479685,-1.4969617056305566,-1.5740657365869108,-1.3119476411378788,-3.453104846139676
104,2019-01-01,5.859487913310458,9.924244869691512,7.420768016030499,7.070516096188504,0.0004120616177945,0.0007540986478345,0.0003900030806378,0.0005239002658357,2.7830671634345188,3.5374674809838056,3.651271474781841,2.997291105625955,9.12665088938085
105,2019-02-01,-0.3926789840300248,-0.8390325743693489,-0.5152471052739911,-0.4651995912154258,0.0004779275318101,0.0009590848438459,0.0005201844947173,0.0006171376906089,-0.275333019191662,-0.3384904694525339,-0.3176530451043442,-0.2714895791236795,-0.731050404001532
106,2019-03-01,-1.5534411909723131,-2.894480686127029,-1.9339556301356031,-1.7721163946143892,0.0004798042061101,0.0009663031539992,0.0005230117819715,0.0006208556617946,-0.7995067968319023,-0.9947795886780296,-0.9321556509722086,-0.7906054081285154,-2.579281183932347
107,2019-04-01,2.2249577001256244,3.412293630334577,2.2670665915361905,2.0525513833686118,0.0004673867192971,0.0009620281479524,0.0005266007859667,0.000612280198023,0.9380304067422164,1.0366313985277222,0.9020691911410268,0.749883390337854,3.052662037037046
108,2019-05-01,-5.131460643955297,-8.62562729353955,-5.544367195992717,-4.819098583263559,0.0004765663213746,0.0009824552092086,0.0005360458752776,0.0006172902688969,-2.4341230651985337,-2.810079968082119,-2.473449360436112,-2.01302471753939,-7.381019233469054
109,2019-06-01,3.3266688732397918,6.132825355780391,3.650476843002914,3.3965767461428995,0.0005584426049829,0.0012126818700597,0.0006310471258966,0.0006942150752119,1.340615091598708,1.7155662808925298,1.3900387201527666,1.2289253242158034,5.157451968623295
110,2019-07-01,-2.342357017314201,-4.904757209977524,-2.8340114808329555,-2.5759855190018985,0.0005843466561763,0.0013014854553926,0.0006625689301759,0.0007177508238687,-1.0373093287095967,-1.4053388354232976,-1.165159803531118,-1.023163279873489,-4.021621621621629
111,2019-08-01,-1.6859088881706887,-3.2459638399641406,-2.0373487302922664,-1.7444615895190272,0.0005973385440269,0.0013683159515383,0.0006825916844431,0.0007325029073096,-0.7493319721244108,-0.9168400416299588,-0.8354923648010137,-0.698308841912957,-2.755875948036335
112,2019-09-01,3.554458260558588,6.372458162812981,4.398102993319112,3.8004440337055394,0.0006039961871923,0.0013960956922205,0.0006924528226492,0.0007377270999922,1.3874248839612182,1.6667704104245782,1.6163813565021223,1.345955489233531,5.617760617760625
113,2019-10-01,0.5501355526392325,0.882523057434877,0.6716092123863897,0.6043786231795506,0.0006360545301797,0.0014992554541517,0.0007425063077786,0.0007714046869983,0.1679298025602648,0.1952231943427245,0.2000056090590862,0.1720173893751786,0.82983001279473
114,2019-11-01,0.2614144203840757,0.3623877858000492,0.298585916062663,0.2769444049998845,0.0006359552927058,0.0014984927842631,0.0007426209819599,0.0007700154422604,0.0511730496915785,0.0594213765915779,0.0609959396290411,0.05210212154549,0.3480530780944013
115,2019-12-01,3.680612639481351,6.512371921158357,4.745102301030796,4.151053678058195,0.000635339181885,0.0014965164643127,0.0007419762065102,0.0007679686862317,1.408028892178805,1.649439064954842,1.693717653250668,1.4504451544714438,6.138449309921247
116,2020-01-01,-1.6747640700196404,-3.5131119846397385,-2.331862726903525,-2.016571052590583,0.0006645816117169,0.0015922473313997,0.0007941632260471,0.000799201915024,-0.6962133045597616,-0.91049595558494,-0.8700574599276145,-0.7557823341605351,-3.145317765598943
117,2020-02-01,-3.325200338104672,-6.469814966885343,-4.381749883051084,-3.8152373488115807,0.0006666836027404,0.0016205981265433,0.0008064033643303,0.0007998799983454,-1.3189960872603308,-1.6271325657078797,-1.5713589458975137,-1.377446038266328,-5.802551576283699
118,2020-03-01,-7.064376677273623,-12.86681159066902,-8.938220144486793,-7.854301842967506,0.0006987105613243,0.0017440230290538,0.0008618589685495,0.0008444794629203,-2.677901295085118,-3.0844118839085817,-3.049440761835033,-2.7076657801303456,-11.640922319229908
119,2020-04-01,6.024438794538421,10.188855472478934,7.469668785293425,7.246829414742001,0.0008189257682489,0.0021565771539539,0.0010618718087552,0.0009824462613755,2.100548844724317,2.1911626697949007,2.288178821408485,2.307780156943428,9.006840638459579
120,2020-05-01,2.882832599680739,4.680934564458808,3.568886238731192,3.492054486226372,0.0009209615358302,0.0024479533847389,0.0012223508525585,0.0011241819749792,0.9452809356324664,0.9432257666158564,1.0167372912584445,1.0372862897122317,3.939570017431726
121,2020-06-01,2.9318501962161925,5.3629853047298175,4.044529340707657,4.075318810493435,0.0009197144339915,0.0024376431353993,0.00123198960039,0.0010959158027132,0.962359104360252,1.0835307955747546,1.1485011823124494,1.2270176673301634,4.386553369111512
122,2020-07-01,4.631631465395658,8.24437809384475,6.145918160950738,6.263378448352514,0.0009376289615104,0.0025086510171141,0.0012748676038564,0.0011353438810345,1.5095883646525017,1.6442008639236698,1.7187247115933149,1.8561334279233352,6.865650326680718
123,2020-08-01,1.8596838876600623,3.219594970118528,2.351771598356914,2.44472503451286,0.0009977663184976,0.0026956247792189,0.0013789966928868,0.0012421174292733,0.5855775039855438,0.6181889735581597,0.6306144838815282,0.6908274305982985,2.6125885340104293
124,2020-09-01,0.5624172772416925,0.9301797321686784,0.6786520002286869,0.7245347335286146,0.0010025329379799,0.0027076521434926,0.001388506077036,0.0012490932479487,0.1744705975538208,0.1768393144325622,0.179444365109731,0.2021758392777945,0.7488441752946606
125,2020-10-01,-1.90683082476516,-3.181385674347521,-2.324487924122222,-2.5272827539636493,0.0009967574555525,0.0026945184479386,0.0013850504904742,0.0012433202128832,-0.6074021770340656,-0.6149661639469765,-0.6274984110522125,-0.719811666291451,-2.53360910031023
126,2020-11-01,11.520064861965167,19.158395569768405,13.90689930024313,14.652803312806428,0.0009693787118717,0.0026523706889093,0.0013760933804073,0.0012268831451648,3.6971123479487606,3.718213174670165,3.746451750979257,4.180685335122324,14.73806366047745
127,2020-12-01,9.190934814568234,14.968421459184968,10.836233571653754,11.95354468541636,0.0013243866600975,0.0036233270215369,0.0018883955265681,0.0017912676850545,2.523239753535719,2.48530959351663,2.491712422608729,2.8223685982618,12.495304146799604
128,2021-01-01,2.820998671296862,4.735069201153393,3.2918734283792643,3.501719903349508,0.001538542983617,0.0041788638787518,0.0021785850424388,0.002144287642643,0.7170737648648186,0.7311939220465888,0.703486179566489,0.7544068088490784,3.922525623571116
129,2021-02-01,0.9758686603181652,1.6283411763302909,1.099553293242034,1.1865625984563697,0.0015506434109896,0.0042139698818183,0.00219535911481,0.0021625187787845,0.2461270942837425,0.2498150685470943,0.2332508830379255,0.2537258167970873,1.3224243622701248
130,2021-03-01,0.9130958379586692,1.5317268026254478,1.0380712362897453,1.127314186253375,0.0015007635723979,0.0041021826962019,0.0021431650285782,0.0020919039416187,0.2341950537049113,0.2382414082463242,0.2229732592291583,0.2452007072795989,1.2514942304408194
131,2021-04-01,1.2846678159785314,2.157202935107457,1.465186106443202,1.5912157505895723,0.0015003284924368,0.0040999302500962,0.0021418479704945,0.0020902830547829,0.330588024963943,0.3362507827918216,0.3156908232853724,0.3471267402389847,1.7636854279105665
132,2021-05-01,0.9615253352841144,1.6166322585201272,1.1018156988851493,1.193251338997926,0.0014988346374296,0.0040990350115462,0.0021417724037228,0.0020900678009743,0.2472852694557812,0.2518546068491296,0.2371795371783643,0.2600955622057405,1.3140448906146407
133,2021-06-01,1.809225430144112,3.2292773737946874,2.18001928422016,2.380644826794377,0.0014702530727023,0.0040429871578445,0.0021144897636411,0.0020557158293626,0.4703212102585408,0.50695476131893,0.4728182870219553,0.5237788336280536,2.554275431749664
134,2021-07-01,-2.453541185959466,-4.429184648564139,-2.8300183489297366,-3.1082945824961827,0.0014448976323425,0.0039977698942411,0.0020945272123941,0.0020288724024652,-0.6470022621221936,-0.7014331795807837,-0.6196411096902247,-0.691367275798688,-3.402151125695007
135,2021-08-01,-0.7176854533575001,-1.25973249426254,-0.7948417072473862,-0.8553414523852471,0.0014703421153751,0.0040836619216551,0.0021299845681229,0.0020721807064737,-0.1886859188037042,-0.1980428681772009,-0.1734870440197016,-0.1891805785836483,-0.9719044136727194
136,2021-09-01,-3.263886146811168,-5.706613191908845,-3.611966995395517,-3.866019158244274,0.0014764529374191,0.0041012048340315,0.0021384601329937,0.0020821454004768,-0.8513763769526348,-0.8922629787093725,-0.7826970027087748,-0.8488869060080384,-4.404583244002957
137,2021-10-01,-2.37073702908176,-4.148938640286721,-2.566476405093917,-2.564915335312965,0.001519995113301,0.0042345684829767,0.0021945319822114,0.002147234666497,-0.6112861804141482,-0.6394962748557104,-0.5505223636089921,-0.5562156528391039,-3.1971093944679785
138,2021-11-01,-2.9492911322511435,-4.687427325117705,-2.950382078342188,-2.813703010400308,0.0013785733676174,0.0040911431555001,0.0020311557735769,0.0020092630791216,-0.7997138662576755,-0.7359685552155953,-0.6590790217836745,-0.6321680795537027,-3.9205086621875607
139,2021-12-01,4.351980408441243,6.564681094335925,4.460583882855452,4.24365607423999,0.0014157424481316,0.0041850414987121,0.0020715644348964,0.0020497991100727,1.1480087760748812,1.0097461006569024,0.9729091763100074,0.9301471585611588,5.613010395456008
140,2022-01-01,-7.274122227385975,-10.522244779571505,-7.35620946683794,-7.05692129965297,0.0014194665564877,0.0041824953129852,0.0020581122457646,0.0020302925110128,-1.94790537197438,-1.6370266052128744,-1.63578653878925,-1.5805337123319347,-9.1859255688881
141,2022-02-01,0.8249536608051893,1.1372343625933798,0.8342095312685358,0.8099601012010416,0.0015333748586149,0.004364736833366,0.0021428596391196,0.0021207225319864,0.1892762300529216,0.1594545379642492,0.1621113115706152,0.1576894699774807,0.994468964746642
142,2022-03-01,0.9449605029035602,1.2791295998362775,0.9500395187879462,0.925256112579082,0.0015296252787814,0.0043539471879671,0.0021367818978577,0.0021142413260191,0.2071395366019471,0.1734197482081548,0.1763557737701795,0.1719034354033069,1.1257398904685578
143,2022-04-01,-2.2998933256026524,-3.3206629504978094,-2.3747767740365697,-2.237390306014769,0.0015140157646381,0.0043071397708822,0.0021126425931294,0.0020911408017313,-0.635622876604426,-0.5323883232718216,-0.5543779527287048,-0.5271771868508045,-2.880118158693701
144,2022-05-01,-2.087799821361876,-2.99972720225821,-2.1232632373825933,-2.0198632794591798,0.0015345729778463,0.0043488755190353,0.0021391185147869,0.0021189490389844,-0.5765829661122462,-0.480789086700507,-0.4960254981018278,-0.4759180423762806,-2.6163118170553057
